command,class,tags,syntax,help
kmu_mcm_open,kmu.mods.console.commands.KmuOpenMarketConditionManagerCommand,"kmu,campaign,market",kmu_mcm_open,"Opens Klark Morrigan's Utilities Market Condition Manager for the current supported market context.\n\nUNFINISHED: the feature ships switched off and this command refuses to open it until it is enabled on KMU's Features settings tab."
kmu_profiling,kmu.mods.console.commands.KmuProfilingReportCommand,"kmu,debug",kmu_profiling [tree|flat|walks] [namespace=<prefix>] [top=<count>] [perframe] [reset],"Writes KMU performance timings to starsector-core/starsector.log (call count and avg/min/max/self/total ms, what each row counted, and what the call it kept was doing). The table is too wide for this overlay, so only a notice is printed here.\n\nArguments:\n- tree: every section indented under the one it ran inside. The default.\n- flat: every row worst self time first, named by its whole path.\n- walks: only the rows that traversed the sector, worst call first.\n- namespace=<prefix>: keeps only the rows whose section starts with the prefix, plus the rows they ran inside.\n- top=<count>: keeps only the highest ranked rows, plus the rows they ran inside.\n- perframe: divides the totals by the frames they were measured over.\n- reset: clears the collected timings.\n\nNothing is recorded until the Profiling level knob on Map - Dev is turned on."
